id,name,description,price,offer_price,category,image_url,video_url,gallery,videos,stock,rating,is_trending,created_at,similar_products,variants,colors,sizes,updated_at,shipping_price
21,Pure Cotton Cordsets,"Crafted for effortless styling, a pure cotton cord (co-ord) set is a matching two-piece outfit featuring a coordinated top and bottom",1499,1099,cord-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901567298_IMG-20260629-WA0001.jpg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901567298_IMG-20260629-WA0001.jpg""]",[],10,4.5,true,2026-06-29 11:20:13.852205+00,[],[],[],[],2026-07-03 04:29:53.614197+00,
41,Cotton Mix,"A cotton mix maxi dress is a versatile, full-length garment that blends the breathable, soft feel of cotton with synthetic fibers (like polyester or spandex)",1099,799,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901667612_IMG_2822.PNG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901667612_IMG_2822.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901668501_IMG_2823.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901669194_IMG_2829.PNG""]",[],10,4.5,true,2026-07-01 10:27:51.139081+00,[],[],[],[],2026-07-03 10:34:41.84088+00,
42,Cotton Mix,"A cotton mix maxi dress is a versatile, full-length garment that blends the breathable, soft feel of cotton with synthetic fibers (like polyester or spandex)",1099,799,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901793650_IMG_3854.JPG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901793650_IMG_3854.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901796478_IMG_3855.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901798632_IMG_3859.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782901801444_IMG_3857.JPG""]",[],10,4.5,false,2026-07-01 10:30:04.773827+00,[],[],[],[],2026-07-03 10:34:22.787184+00,
43,Pure Cotton Maxi With Floral,A pure cotton floral maxi dress is an effortlessly breezy and breathable wardrobe essential.,1099,799,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902002977_IMG_3880.PNG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902002977_IMG_3880.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902005468_IMG_3881.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902007414_IMG_3884.PNG""]",[],10,4.5,true,2026-07-01 10:33:29.826561+00,[],[],[],[],2026-07-03 10:41:34.989963+00,
44,Cordset Vatican Material,"A Vatican fabric cord set is a chic, two-piece ethnic ensemble crafted from ""Vatican"" fabric (a smooth, lightweight material similar to silk or premium rayon)",1499,899,cord-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902149310_IMG_3245.jpg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902149310_IMG_3245.jpg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902150566_IMG_3278.jpg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902151488_IMG_3279.jpg""]",[],10,4.5,false,2026-07-01 10:35:53.491868+00,[],[],[],"[""M"",""L"",""XL"",""XXL""]",2026-07-12 05:27:49.663346+00,0
45,Cordset Vatican Material,"A Vatican fabric cord set is a chic, two-piece ethnic ensemble crafted from ""Vatican"" fabric (a smooth, lightweight material similar to silk or premium rayon)",1099,899,cord-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902232427_IMG_3249.jpg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902232427_IMG_3249.jpg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902233591_IMG_3246.jpg""]",[],4,4.5,false,2026-07-01 10:37:15.651826+00,[],[],[],"[""M"",""L"",""XL"",""XXL""]",2026-07-12 05:27:28.439731+00,0
46,Cordset Vatican Material,"A Vatican fabric cord set is a chic, two-piece ethnic ensemble crafted from ""Vatican"" fabric (a smooth, lightweight material similar to silk or premium rayon)",1099,999,cord-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902322724_IMG_3270.jpg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902322724_IMG_3270.jpg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902323919_IMG_3271.jpg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902325019_IMG_3272.jpg""]",[],1,4.5,false,2026-07-01 10:38:47.413948+00,[],[],[],"[""XL""]",2026-07-03 13:07:01.772076+00,
47,Cordset Vatican Material,"A Vatican fabric cord set is a chic, two-piece ethnic ensemble crafted from ""Vatican"" fabric (a smooth, lightweight material similar to silk or premium rayon)",1099,949,cord-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902602249_IMG_3262.jpg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902602249_IMG_3262.jpg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902604288_IMG_3265.jpg""]",[],2,4.5,false,2026-07-01 10:43:26.810371+00,[],[],[],"[""XL"",""XXL""]",2026-07-03 13:05:46.963893+00,
48,Rayon Material,"A rayon maxi dress is a floor- or ankle-length garment crafted from breathable, semi-synthetic rayon",999,599,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902726782_IMG_3858.JPG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902726782_IMG_3858.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902728804_IMG_3856.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782902730491_IMG_3860.JPG""]",[],5,4.5,true,2026-07-01 10:45:33.86111+00,[],[],[],"[""XS"",""S"",""M"",""L"",""XXL""]",2026-07-03 13:05:08.598895+00,
49,Berlin Vatican,"he Berlin Vatican maxi dress is a stylish, multi-occasion garment crafted from premium, lightweight fabric (typically rayon or a silk blend)",1499,1099,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903024674_IMG_3591.PNG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903024674_IMG_3591.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903025660_IMG_3592.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903026408_IMG_3593.PNG""]",[],2,4.5,false,2026-07-01 10:50:30.317002+00,[],[],[],"[""XS"",""S""]",2026-07-03 13:04:10.723606+00,
